Location_name,Data_id,indicator_name,Indicator_value,Indicator_Precision,Country_Name,Survey_Year,Survey_id,Indicator_Id,Indicator_Order,Indicator_type,Characteristic_Id,Characteristic_Order,Characteristic_Category,Characteristic_Label,ByVariable_Id,ByVariable_Label,Is_Total,Is_Preferred,SDR_ID,Region_Id,Survey_Year_Label,Survey_Type,Denominator_Weighted,Denominator_Unweighted,Level_Rank
Eastern,402902,Men who want no more children,45.3,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436001,1436001,Region,Eastern,1000,Total,0,1,PRDESLMWNM,NPDHS2001436001,2001,DHS,,458,2
Eastern,6986150,Men who want no more children,8.7,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436001,1436001,Region,Eastern,189000,Living children: 0,0,0,PRDESLMWNM,NPDHS2001436001,2001,DHS,,40,2
Eastern,402865,Men who want no more children,18.7,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436001,1436001,Region,Eastern,189001,Living children: 1,0,0,PRDESLMWNM,NPDHS2001436001,2001,DHS,,98,2
Eastern,6384715,Men who want no more children,49.8,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436001,1436001,Region,Eastern,189002,Living children: 2,0,0,PRDESLMWNM,NPDHS2001436001,2001,DHS,,99,2
Eastern,402927,Men who want no more children,55.3,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436001,1436001,Region,Eastern,189003,Living children: 3,0,0,PRDESLMWNM,NPDHS2001436001,2001,DHS,,90,2
Eastern,402905,Men who want no more children,66.5,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436001,1436001,Region,Eastern,189004,Living children: 4,0,0,PRDESLMWNM,NPDHS2001436001,2001,DHS,,67,2
Eastern,4669204,Men who want no more children,60.8,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436001,1436001,Region,Eastern,189005,Living children: 5,0,0,PRDESLMWNM,NPDHS2001436001,2001,DHS,,29,2
Eastern,402963,Men who want no more children,72.3,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436001,1436001,Region,Eastern,189006,Living children: 6+,0,0,PRDESLMWNM,NPDHS2001436001,2001,DHS,,35,2
Central,6470059,Men who want no more children,54.9,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436002,1436002,Region,Central,1000,Total,0,1,PRDESLMWNM,NPDHS2001436002,2001,DHS,,529,2
Central,5446162,Men who want no more children,11.2,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436002,1436002,Region,Central,189000,Living children: 0,0,0,PRDESLMWNM,NPDHS2001436002,2001,DHS,,80,2
Central,6075728,Men who want no more children,21.7,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436002,1436002,Region,Central,189001,Living children: 1,0,0,PRDESLMWNM,NPDHS2001436002,2001,DHS,,94,2
Central,402928,Men who want no more children,67.6,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436002,1436002,Region,Central,189002,Living children: 2,0,0,PRDESLMWNM,NPDHS2001436002,2001,DHS,,131,2
Central,5189076,Men who want no more children,66.3,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436002,1436002,Region,Central,189003,Living children: 3,0,0,PRDESLMWNM,NPDHS2001436002,2001,DHS,,101,2
Central,3851206,Men who want no more children,72.8,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436002,1436002,Region,Central,189004,Living children: 4,0,0,PRDESLMWNM,NPDHS2001436002,2001,DHS,,63,2
Central,402921,Men who want no more children,91.4,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436002,1436002,Region,Central,189005,Living children: 5,0,0,PRDESLMWNM,NPDHS2001436002,2001,DHS,,35,2
Central,5049942,Men who want no more children,95.8,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436002,1436002,Region,Central,189006,Living children: 6+,0,0,PRDESLMWNM,NPDHS2001436002,2001,DHS,,25,2
Western,410325,Men who want no more children,53.6,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436003,1436003,Region,Western,1000,Total,0,1,PRDESLMWNM,NPDHS2001436003,2001,DHS,,307,2
Western,410320,Men who want no more children,15.3,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436003,1436003,Region,Western,189000,Living children: 0,0,0,PRDESLMWNM,NPDHS2001436003,2001,DHS,,44,2
Western,5709758,Men who want no more children,16.7,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436003,1436003,Region,Western,189001,Living children: 1,0,0,PRDESLMWNM,NPDHS2001436003,2001,DHS,,42,2
Western,4229996,Men who want no more children,61.9,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436003,1436003,Region,Western,189002,Living children: 2,0,0,PRDESLMWNM,NPDHS2001436003,2001,DHS,,66,2
Western,3711422,Men who want no more children,70.3,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436003,1436003,Region,Western,189003,Living children: 3,0,0,PRDESLMWNM,NPDHS2001436003,2001,DHS,,71,2
Western,5594394,Men who want no more children,62.7,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436003,1436003,Region,Western,189004,Living children: 4,0,0,PRDESLMWNM,NPDHS2001436003,2001,DHS,,44,2
Midwestern,4496022,Men who want no more children,49.7,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436004,1436004,Region,Midwestern,1000,Total,0,1,PRDESLMWNM,NPDHS2001436004,2001,DHS,,239,2
Midwestern,4776544,Men who want no more children,21.9,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436004,1436004,Region,Midwestern,189000,Living children: 0,0,0,PRDESLMWNM,NPDHS2001436004,2001,DHS,,33,2
Midwestern,396322,Men who want no more children,25.8,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436004,1436004,Region,Midwestern,189001,Living children: 1,0,0,PRDESLMWNM,NPDHS2001436004,2001,DHS,,43,2
Midwestern,3438957,Men who want no more children,64.1,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436004,1436004,Region,Midwestern,189002,Living children: 2,0,0,PRDESLMWNM,NPDHS2001436004,2001,DHS,,57,2
Midwestern,4410040,Men who want no more children,51.5,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436004,1436004,Region,Midwestern,189003,Living children: 3,0,0,PRDESLMWNM,NPDHS2001436004,2001,DHS,,54,2
Farwestern,396290,Men who want no more children,40.2,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436005,1436005,Region,Farwestern,1000,Total,0,1,PRDESLMWNM,NPDHS2001436005,2001,DHS,,305,2
Farwestern,6825610,Men who want no more children,12.4,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436005,1436005,Region,Farwestern,189000,Living children: 0,0,0,PRDESLMWNM,NPDHS2001436005,2001,DHS,,41,2
Farwestern,6901566,Men who want no more children,16.7,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436005,1436005,Region,Farwestern,189001,Living children: 1,0,0,PRDESLMWNM,NPDHS2001436005,2001,DHS,,70,2
Farwestern,396299,Men who want no more children,36.7,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436005,1436005,Region,Farwestern,189002,Living children: 2,0,0,PRDESLMWNM,NPDHS2001436005,2001,DHS,,52,2
Farwestern,396323,Men who want no more children,59.3,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436005,1436005,Region,Farwestern,189003,Living children: 3,0,0,PRDESLMWNM,NPDHS2001436005,2001,DHS,,63,2
Farwestern,4929181,Men who want no more children,66.7,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436005,1436005,Region,Farwestern,189004,Living children: 4,0,0,PRDESLMWNM,NPDHS2001436005,2001,DHS,,41,2
Farwestern,5691403,Men who want no more children,66.7,1,Nepal,2001,NP2001DHS,PR_DESL_M_WNM,22204040,I,436005,1436005,Region,Farwestern,189005,Living children: 5,0,0,PRDESLMWNM,NPDHS2001436005,2001,DHS,,26,2
Eastern,6356002,Knowledge of any method of contraception among married men,100,1,Nepal,2001,NP2001DHS,FP_KMET_M_ANY,32464050,I,436001,1436001,Region,Eastern,0,,0,1,FPKMETMANY,NPDHS2001436001,2001,DHS,473,458,2
Central,1229330,Knowledge of any method of contraception among married men,100,1,Nepal,2001,NP2001DHS,FP_KMET_M_ANY,32464050,I,436002,1436002,Region,Central,0,,0,1,FPKMETMANY,NPDHS2001436002,2001,DHS,628,529,2
Western,4510874,Knowledge of any method of contraception among married men,98.8,1,Nepal,2001,NP2001DHS,FP_KMET_M_ANY,32464050,I,436003,1436003,Region,Western,0,,0,1,FPKMETMANY,NPDHS2001436003,2001,DHS,342,307,2
Midwestern,6649367,Knowledge of any method of contraception among married men,99.8,1,Nepal,2001,NP2001DHS,FP_KMET_M_ANY,32464050,I,436004,1436004,Region,Midwestern,0,,0,1,FPKMETMANY,NPDHS2001436004,2001,DHS,237,239,2
Farwestern,1214825,Knowledge of any method of contraception among married men,100,1,Nepal,2001,NP2001DHS,FP_KMET_M_ANY,32464050,I,436005,1436005,Region,Farwestern,0,,0,1,FPKMETMANY,NPDHS2001436005,2001,DHS,161,305,2
Eastern,6356003,Knowledge of any modern method of contraception amonth married men,100,1,Nepal,2001,NP2001DHS,FP_KMET_M_MOD,32464060,I,436001,1436001,Region,Eastern,0,,0,1,FPKMETMMOD,NPDHS2001436001,2001,DHS,473,458,2
Central,1229381,Knowledge of any modern method of contraception amonth married men,100,1,Nepal,2001,NP2001DHS,FP_KMET_M_MOD,32464060,I,436002,1436002,Region,Central,0,,0,1,FPKMETMMOD,NPDHS2001436002,2001,DHS,628,529,2
Western,4510867,Knowledge of any modern method of contraception amonth married men,98.8,1,Nepal,2001,NP2001DHS,FP_KMET_M_MOD,32464060,I,436003,1436003,Region,Western,0,,0,1,FPKMETMMOD,NPDHS2001436003,2001,DHS,342,307,2
Midwestern,6649366,Knowledge of any modern method of contraception amonth married men,99.8,1,Nepal,2001,NP2001DHS,FP_KMET_M_MOD,32464060,I,436004,1436004,Region,Midwestern,0,,0,1,FPKMETMMOD,NPDHS2001436004,2001,DHS,237,239,2
Farwestern,1214826,Knowledge of any modern method of contraception amonth married men,100,1,Nepal,2001,NP2001DHS,FP_KMET_M_MOD,32464060,I,436005,1436005,Region,Farwestern,0,,0,1,FPKMETMMOD,NPDHS2001436005,2001,DHS,161,305,2
Eastern,6078102,Family planning messages on the radio [Men],65.7,1,Nepal,2001,NP2001DHS,FP_EFPM_M_RDO,33104070,I,436001,1436001,Region,Eastern,0,,0,1,FPEFPMMRDO,NPDHS2001436001,2001,DHS,480,467,2
Central,5629528,Family planning messages on the radio [Men],60.6,1,Nepal,2001,NP2001DHS,FP_EFPM_M_RDO,33104070,I,436002,1436002,Region,Central,0,,0,1,FPEFPMMRDO,NPDHS2001436002,2001,DHS,637,537,2
Western,3654999,Family planning messages on the radio [Men],74.4,1,Nepal,2001,NP2001DHS,FP_EFPM_M_RDO,33104070,I,436003,1436003,Region,Western,0,,0,1,FPEFPMMRDO,NPDHS2001436003,2001,DHS,351,315,2
Midwestern,5100029,Family planning messages on the radio [Men],68.4,1,Nepal,2001,NP2001DHS,FP_EFPM_M_RDO,33104070,I,436004,1436004,Region,Midwestern,0,,0,1,FPEFPMMRDO,NPDHS2001436004,2001,DHS,243,246,2
Farwestern,3697571,Family planning messages on the radio [Men],74.3,1,Nepal,2001,NP2001DHS,FP_EFPM_M_RDO,33104070,I,436005,1436005,Region,Farwestern,0,,0,1,FPEFPMMRDO,NPDHS2001436005,2001,DHS,162,308,2
Eastern,6078103,Family planning messages on television [Men],39.1,1,Nepal,2001,NP2001DHS,FP_EFPM_M_TLV,33104080,I,436001,1436001,Region,Eastern,0,,0,1,FPEFPMMTLV,NPDHS2001436001,2001,DHS,480,467,2
Central,5629599,Family planning messages on television [Men],48.4,1,Nepal,2001,NP2001DHS,FP_EFPM_M_TLV,33104080,I,436002,1436002,Region,Central,0,,0,1,FPEFPMMTLV,NPDHS2001436002,2001,DHS,637,537,2
Western,3655042,Family planning messages on television [Men],28.1,1,Nepal,2001,NP2001DHS,FP_EFPM_M_TLV,33104080,I,436003,1436003,Region,Western,0,,0,1,FPEFPMMTLV,NPDHS2001436003,2001,DHS,351,315,2
Midwestern,5100030,Family planning messages on television [Men],11.1,1,Nepal,2001,NP2001DHS,FP_EFPM_M_TLV,33104080,I,436004,1436004,Region,Midwestern,0,,0,1,FPEFPMMTLV,NPDHS2001436004,2001,DHS,243,246,2
Farwestern,3697572,Family planning messages on television [Men],11.5,1,Nepal,2001,NP2001DHS,FP_EFPM_M_TLV,33104080,I,436005,1436005,Region,Farwestern,0,,0,1,FPEFPMMTLV,NPDHS2001436005,2001,DHS,162,308,2
Eastern,6078104,Family planning messages in newspapers or magazines [Men],29.9,1,Nepal,2001,NP2001DHS,FP_EFPM_M_NWS,33104090,I,436001,1436001,Region,Eastern,0,,0,1,FPEFPMMNWS,NPDHS2001436001,2001,DHS,480,467,2
Central,5629600,Family planning messages in newspapers or magazines [Men],28.1,1,Nepal,2001,NP2001DHS,FP_EFPM_M_NWS,33104090,I,436002,1436002,Region,Central,0,,0,1,FPEFPMMNWS,NPDHS2001436002,2001,DHS,637,537,2
Western,3655043,Family planning messages in newspapers or magazines [Men],31.8,1,Nepal,2001,NP2001DHS,FP_EFPM_M_NWS,33104090,I,436003,1436003,Region,Western,0,,0,1,FPEFPMMNWS,NPDHS2001436003,2001,DHS,351,315,2
Midwestern,5100031,Family planning messages in newspapers or magazines [Men],14.3,1,Nepal,2001,NP2001DHS,FP_EFPM_M_NWS,33104090,I,436004,1436004,Region,Midwestern,0,,0,1,FPEFPMMNWS,NPDHS2001436004,2001,DHS,243,246,2
Farwestern,3697573,Family planning messages in newspapers or magazines [Men],16.1,1,Nepal,2001,NP2001DHS,FP_EFPM_M_NWS,33104090,I,436005,1436005,Region,Farwestern,0,,0,1,FPEFPMMNWS,NPDHS2001436005,2001,DHS,162,308,2
Eastern,6078105,Family planning messages in none of these three media [Men],27.2,1,Nepal,2001,NP2001DHS,FP_EFPM_M_NON,33104100,I,436001,1436001,Region,Eastern,0,,0,1,FPEFPMMNON,NPDHS2001436001,2001,DHS,480,467,2
Central,5629601,Family planning messages in none of these three media [Men],28,1,Nepal,2001,NP2001DHS,FP_EFPM_M_NON,33104100,I,436002,1436002,Region,Central,0,,0,1,FPEFPMMNON,NPDHS2001436002,2001,DHS,637,537,2
Western,3655044,Family planning messages in none of these three media [Men],23,1,Nepal,2001,NP2001DHS,FP_EFPM_M_NON,33104100,I,436003,1436003,Region,Western,0,,0,1,FPEFPMMNON,NPDHS2001436003,2001,DHS,351,315,2
Midwestern,5100032,Family planning messages in none of these three media [Men],31.1,1,Nepal,2001,NP2001DHS,FP_EFPM_M_NON,33104100,I,436004,1436004,Region,Midwestern,0,,0,1,FPEFPMMNON,NPDHS2001436004,2001,DHS,243,246,2
Farwestern,3697574,Family planning messages in none of these three media [Men],24.6,1,Nepal,2001,NP2001DHS,FP_EFPM_M_NON,33104100,I,436005,1436005,Region,Farwestern,0,,0,1,FPEFPMMNON,NPDHS2001436005,2001,DHS,162,308,2
Eastern,1081871,Number of wives: One wife,97.1,1,Nepal,2001,NP2001DHS,MA_WIVE_M_1WV,41564010,I,436001,1436001,Region,Eastern,0,,0,1,MAWIVEM1WV,NPDHS2001436001,2001,DHS,473,458,2
Central,4115579,Number of wives: One wife,98,1,Nepal,2001,NP2001DHS,MA_WIVE_M_1WV,41564010,I,436002,1436002,Region,Central,0,,0,1,MAWIVEM1WV,NPDHS2001436002,2001,DHS,628,529,2
Western,3315661,Number of wives: One wife,98.8,1,Nepal,2001,NP2001DHS,MA_WIVE_M_1WV,41564010,I,436003,1436003,Region,Western,0,,0,1,MAWIVEM1WV,NPDHS2001436003,2001,DHS,342,307,2
Midwestern,2288254,Number of wives: One wife,98.6,1,Nepal,2001,NP2001DHS,MA_WIVE_M_1WV,41564010,I,436004,1436004,Region,Midwestern,0,,0,1,MAWIVEM1WV,NPDHS2001436004,2001,DHS,237,239,2
Farwestern,5241609,Number of wives: One wife,97.7,1,Nepal,2001,NP2001DHS,MA_WIVE_M_1WV,41564010,I,436005,1436005,Region,Farwestern,0,,0,1,MAWIVEM1WV,NPDHS2001436005,2001,DHS,161,305,2
Eastern,1081861,Number of wives: Two or more wives,2.9,1,Nepal,2001,NP2001DHS,MA_WIVE_M_2PW,41564020,I,436001,1436001,Region,Eastern,0,,0,1,MAWIVEM2PW,NPDHS2001436001,2001,DHS,473,458,2
Central,4115577,Number of wives: Two or more wives,2,1,Nepal,2001,NP2001DHS,MA_WIVE_M_2PW,41564020,I,436002,1436002,Region,Central,0,,0,1,MAWIVEM2PW,NPDHS2001436002,2001,DHS,628,529,2
Western,3315655,Number of wives: Two or more wives,1.2,1,Nepal,2001,NP2001DHS,MA_WIVE_M_2PW,41564020,I,436003,1436003,Region,Western,0,,0,1,MAWIVEM2PW,NPDHS2001436003,2001,DHS,342,307,2
